taxon	P7	P8	P10	P14	P23	P25	P34	P35	P52	P55	P59	P61	P63	P67	P68	P69	P24	P28	P30	P32	P46	P53	P54	P66
Acidimicrobium	0.610367649921751	-0.619774712105052	1.30815159365276	3.28702434299847	1.58599112541388	-0.619774712105052	-0.619774712105052	-0.619774712105052	-0.619774712105052	-0.619774712105052	-0.0425777519358785	-0.619774712105052	-0.619774712105052	-0.619774712105052	0.50320233265126	0.331184494666552	-0.619774712105052	0.824111750697239	-0.619774712105052	-0.619774712105052	0.889165143509743	-0.619774712105052	-0.619774712105052	-0.619774712105052
Acidiphilium	-0.46110535179505	-1.39009946932434	1.02262626700093	0.317338815702983	-0.526076311495189	2.00624805267841	-0.10148113789732	0.436338812823022	0.990635386473964	-0.530672393215661	-1.39009946932434	0.040683429495111	0.695629227761849	1.97375951075516	0.630449417544435	-0.514905987822532	-0.67967864134111	1.52593648904506	-0.801389485742759	0.0635514478444348	-1.39009946932434	-0.481898449362057	-0.308627100505852	-1.12706358997482
Acidipropionibacterium	0.348557471457542	-1.20427024569725	3.24882529208327	0.708418852219397	0.584940129466393	-0.198426436987068	0.153172773653204	-0.321618284833543	-0.0894298873881493	-1.26165080919564	0.290643719845673	0.906588504880932	-0.62571997695056	-0.386084553525642	-0.711553560848801	-0.554747628761898	0.737543276034577	0.734505348493112	-1.39776033956902	1.0343283544557	-0.190952535601099	-1.31766021154743	-0.2867370677018	-0.200912183981905
Acidithiobacillus	0.571803356670524	0.744457566960632	1.8551018540314	2.24800962735866	0.346361051174039	1.28882267976922	-1.69070460069508	-1.08634681529255	-0.197669148792385	-1.0315882520486	-0.437202195512915	0.271520991997179	0.988134092346134	-0.687026237764174	-0.277028587168442	-0.307722768866756	1.11642034411842	-0.0389501908962145	-1.12971956558373	-0.214998199414129	-0.758071459783492	0.21308245370469	-0.771602634872895	-1.01508336143952
Acidobacterium	0.524084235749326	-0.741603977525997	0.777364600270992	-0.189454429782558	-0.460328526460463	-0.72119048975852	-0.624791603771647	1.72803441814201	-0.514717449992138	-0.380292881329995	0.119666713392912	-1.15177756217071	0.49925265182304	1.69808856523456	0.414044999056267	-0.589786210445492	3.05938399676293	0.186290015721211	-0.776654409842063	-0.292096408635998	-0.769903031112809	-0.17381764919713	-0.753778850890355	-0.866016715237374
Acidothermus	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	2.84842662531585	1.52975122357366	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	-0.473625462303268	0.683164938890602	2.14959856635999	-0.473625462303268	-0.473625462303268	-0.473625462303268	1.787942429622	-0.473625462303268	-0.473625462303268
Acidovorax	0.0955239789414116	-0.249417391443345	0.373294853165812	0.0233896405482205	0.219824273046413	0.535573377522232	-0.674443293744503	-0.385938530631809	-0.853073713529889	-0.0718418059428294	0.231169675188059	-0.482121343970174	0.0283001876817651	-0.581256512323115	-0.581795388269534	-0.329673041619883	0.517110815060055	-0.111278446968076	-0.817118463701058	-0.170583940992474	0.188264476717338	4.27057229729706	-0.817106756403507	-0.357374945628173
Aciduliprofundum	-0.191565932414954	0.796741872347955	-0.416417421193388	-1.44972913265225	-0.488659548479414	-0.870354032174932	-0.928711975375738	0.302501931213053	0.194554916028058	0.336889710050895	2.83417303784362	0.475768747557341	-0.530823105478366	1.53235587509243	0.205503264778346	-0.316681470317215	-0.900046206074693	-0.599243181362445	-0.61979901825302	-0.304491231774819	1.57189098520314	-1.44972913265225	-0.0216013523146236	0.837472400403265
Acinetobacter	0.172876668655766	-0.272797404294168	-0.0838231674373462	-0.03142296085786	-0.923211525098156	-1.2270067215225	2.98907413369478	-0.0657456491825801	-0.912663355983962	0.466036354297851	0.693164172223683	2.27674624691422	-0.14094883977008	-0.563894890676969	-0.156624373027151	-0.862493342109473	0.513390016778869	-0.171429680784654	-1.23542868321422	-0.52902617469156	0.98318380528691	-0.813227155719225	-0.189991173603059	0.0852637001208802
Actinoalloteichus	-0.208447110642791	-0.578320794607686	0.402138800682425	0.0600617669017726	-0.466782466027047	-0.306778236202607	-0.470301960110423	-0.386167579407506	-0.568599476249152	0.53480785558003	0.174353539195491	-0.663673836355043	-0.0335682660180216	-0.426575112938303	-0.393977123793477	-0.0689681875961692	0.680150892264634	-0.381972302141366	-0.0875000525482217	1.04191259598982	-0.985290722306442	4.13564432780904	-0.31007299654602	-0.692073554932934
